participants,date_announced,business_description,type,SIC_primary,participant_nation,deal_number
GulfNet,1995-02-28,Pvd electronic banking svcs,Strategic Alliance,6099,United States,454053045
Pulse,1995-02-28,Pvd electronic banking svcs,Strategic Alliance,6099,United States,454053045
Washington Mortgage Financial,1995-03-05,Mortgage bankers,Strategic Alliance,6162,United States,473041045
Goldman Sachs & Co,1995-03-05,Invest bank,Joint Venture,6211,United States,454717045
"Centura Bank Inc,NC",1995-03-13,Bank hldg co,Strategic Alliance,6021,United States,456658045
"First Union Corp,Charlotte,NC",1995-03-15,Commercial bank;holding co,Strategic Alliance,6021,United States,456754045
"First Natl Bk of Chicago,IL",1995-03-20,Commercial bank,Joint Venture,6022,United States,457407045
"NationsBank Corp,Charlotte,NC",1995-03-21,Bank hldg co;pvd finl svcs,Strategic Alliance,6021,United States,457694045
"First Union Corp,Charlotte,NC",1995-03-21,Commercial bank;holding co,Strategic Alliance,6021,United States,457694045
"Wachovia Corp,Winston-Salem,NC",1995-03-21,Bank holding company,Strategic Alliance,6021,United States,457694045
Salomon Brothers Inc(Salomon),1995-03-22,Investment bank,Joint Venture,6211,United States,460628045
Bankers Bancorp of Oklahoma,1995-03-27,State commercial bank,Strategic Alliance,6022,United States,458650045
Lazard Freres & Co LLC,1995-03-28,Investment bank,Joint Venture,6211,United States,458913045
"First Interstate Bancorp,CA",1995-03-29,Bank holding company,Strategic Alliance,6021,United States,459192045
"Bank of Boston Corp,Boston,MA",1995-03-30,Bank holding company,Strategic Alliance,6021,United States,459608045
"Mellon Bank Corp,Pittsburgh,PA",1995-03-30,Bank holding co,Strategic Alliance,6021,United States,459542045
"US Bancorp,Portland,Oregon",1995-03-30,Commercial bank;trust facility,Strategic Alliance,6021,United States,459542045
"NationsBank Corp,Charlotte,NC",1995-04-03,Bank hldg co;pvd finl svcs,Joint Venture,6021,United States,459959045
Cleary Gull Reiland & McDevitt,1995-04-04,Provide non-banking fin svcs,Strategic Alliance,6141,United States,460352045
Exchange,1995-04-04,ATM banking network sys svcs,Joint Venture,6099,United States,486713045
Goldman Sachs & Co,1995-04-07,Invest bank,Joint Venture,6211,United States,460894045
"CoreStates Financial Corp,PA",1995-04-10,Bank holding company,Joint Venture,6022,United States,461328045
"First of Amer Bk,Kalamazoo,MI",1995-04-11,Bank holding company,Strategic Alliance,6021,United States,461361045
Bankers Trust New York Corp,1995-04-11,Bank holding company,Joint Venture,6022,United States,461358045
Wasserstein Perella Group Inc,1995-04-12,Investment bank,Joint Venture,6211,United States,461726045
Wasserstein Perella Group Inc,1995-04-12,Investment bank,Strategic Alliance,6211,United States,461725045
Wells Fargo & Co,1995-04-24,Bank holding company,Strategic Alliance,6021,United States,463432045
"First of Am Bk, Decatur, IL",1995-05-04,Provide banking services,Strategic Alliance,6021,United States,465513045
Cityscape Financial Corp,1995-05-05,Mortgage bankers,Joint Venture,6162,United States,465777045
IndyMac HEL 1999-A,1995-05-09,Mortgage bankers,Joint Venture,6162,United States,466133045
Harbourton Financial Services,1995-05-15,Mortgage bank;pvd credit svcs,Joint Venture,6162,United States,467436045
"First Bank Sys,Minneapolis,MN",1995-05-17,Bank holding company,Strategic Alliance,6712,United States,468063045
Goldman Sachs & Co,1995-05-23,Invest bank,Strategic Alliance,6211,United States,469454045
Citicorp,1995-05-24,Bank hldg co,Joint Venture,6021,United States,469846045
"First Union Corp,Charlotte,NC",1995-05-25,Commercial bank;holding co,Strategic Alliance,6021,United States,469973045
Visa Interactive,1995-05-30,Pvd electronic banking svcs,Strategic Alliance,6099,United States,470640045
"Mellon Bank Corp,Pittsburgh,PA",1995-06-06,Bank holding co,Strategic Alliance,6021,United States,472427045
"NationsBank Corp,Charlotte,NC",1995-06-08,Bank hldg co;pvd finl svcs,Strategic Alliance,6021,United States,472959045
National Bancard Corp,1995-06-08,Provide bank card services,Strategic Alliance,7389,United States,472959045
"Bank of Boston Corp,Boston,MA",1995-06-16,Bank holding company,Joint Venture,6021,United States,474698045
"Marshall & Ilsley,Milwaukee,WI",1995-06-16,Bank holding company,Joint Venture,6021,United States,474777045
State Street Bank & Trust Co,1995-06-19,Commercial bank,Joint Venture,6021,United States,474945045
"BANC ONE Corp,Columbus,Ohio",1995-06-19,Bank holding co,Joint Venture,6021,United States,474709045
Chase Manhattan Bank NA,1995-06-22,Commercial bank,Joint Venture,6021,United States,475490045
"United Jersey Bk,Hackensack,NJ",1995-06-23,Savings bank,Strategic Alliance,6035,United States,475787045
"NBD Bancorp,Detroit,Michigan",1995-06-30,Bank holding company,Joint Venture,6712,United States,477841045
"CoreStates Financial Corp,PA",1995-07-01,Bank holding company,Strategic Alliance,6022,United States,488510045
Morgan Stanley & Co Intl Ltd,1995-07-02,Invest bank,Strategic Alliance,6211,United States,484310045
Bankers Trust New York Corp,1995-07-05,Bank holding company,Strategic Alliance,6022,United States,478244045
"Bank of Boston Corp,Boston,MA",1995-07-10,Bank holding company,Strategic Alliance,6021,United States,479298045
"Barnett Banks,Jacksonville,FL",1995-07-12,Commercial bank,Joint Venture,6022,United States,479744045
Goldman Sachs & Co,1995-07-17,Invest bank,Joint Venture,6211,United States,480445045
Bank of Hawaii,1995-07-18,State commercial bank,Strategic Alliance,6022,United States,480780045
Citibank NA,1995-07-20,Commercial bank (for US),Joint Venture,6021,United States,482705045
American Finance & Investment,1995-07-24,Pvd mortgage banking svcs,Joint Venture,6162,United States,482171045
Citibank NA,1995-07-25,Commercial bank (for US),Joint Venture,6021,United States,482740045
State Street Bank & Trust Co,1995-07-28,Commercial bank,Joint Venture,6021,United States,483482045
"Magna Bancorp,Hattiesburg,MS",1995-08-03,Bank holding co,Strategic Alliance,6035,United States,484558045
"BayBanks,Boston,Massachusetts",1995-08-03,Bank holding company,Strategic Alliance,6022,United States,484556045
Norwest Bank(Norwest Corp),1995-08-03,Commercial bank,Strategic Alliance,6021,United States,484556045
"Star Banc Corp,Cincinnati,OH",1995-08-03,Commercial bank;holding co,Strategic Alliance,6712,United States,484556045
National Credit,1995-08-03,Bank,Joint Venture,6029,United States,484533045
Centerbank Mortgage Co,1995-08-04,Mortgage bank,Joint Venture,6162,United States,485009045
BankAmerica Corp,1995-08-08,Bank holding company,Joint Venture,6021,United States,485500045
"NationsBank Corp,Charlotte,NC",1995-08-08,Bank hldg co;pvd finl svcs,Joint Venture,6021,United States,485500045
"First Natl Bk of Chicago,IL",1995-08-08,Commercial bank,Joint Venture,6022,United States,485301045
Mercantile Bank of St Louis NA,1995-08-08,Commercial bank,Joint Venture,6021,United States,485301045
BancBoston Mortgage Corp,1995-08-08,Mortgage bank,Joint Venture,6162,United States,485319045
CUNA Mortgage(CUNA Mutual),1995-08-14,Mortgage bank,Strategic Alliance,6162,United States,486321045
PHH US Mortgage,1995-08-14,Mortgage bankers,Strategic Alliance,6162,United States,486321045
"Firstar Corp,Milwaukee, Wi",1995-08-14,Commercial bank hldg company,Strategic Alliance,6021,United States,486343045
Bankers Trust New York Corp,1995-08-16,Bank holding company,Strategic Alliance,6022,United States,486904045
"BANC ONE Corp,Columbus,Ohio",1995-08-16,Bank holding co,Joint Venture,6021,United States,486942045
BankAmerica Corp,1995-08-16,Bank holding company,Joint Venture,6021,United States,486942045
"Chemical Banking Corp,New York",1995-08-16,Bank holding company,Joint Venture,6021,United States,486942045
Chase Manhattan Bank,1995-08-17,Commercial bank,Strategic Alliance,6021,United States,487167045
Beneficial National Bank USA,1995-08-17,"Mtg banking,consumer fin svcs",Strategic Alliance,6162,United States,487108045
"Hudson United Bancorp,NJ",1995-08-17,Bank holding co,Joint Venture,6022,United States,487144045
"United National Bancorp,NJ",1995-08-17,Commercial bank holding co,Joint Venture,6022,United States,487144045
"First Union Corp,Charlotte,NC",1995-08-28,Commercial bank;holding co,Strategic Alliance,6021,United States,489300045
"First Interstate Bancorp,CA",1995-08-31,Bank holding company,Joint Venture,6021,United States,489909045
Charter Mortgage,1995-09-05,Mortgage bankers,Joint Venture,6162,United States,553012045
"NationsBank Corp,Charlotte,NC",1995-09-06,Bank hldg co;pvd finl svcs,Joint Venture,6021,United States,490608045
SBC Warburg(Swiss Bank Corp),1995-09-13,Investment bank,Joint Venture,6211,United States,491894045
"BANK ONE,Columbus,Ohio",1995-09-14,Commercial bank,Strategic Alliance,6022,United States,492196045
BankAmerica Mortgage,1995-09-20,Mortgage bank,Strategic Alliance,6162,United States,493156045
Integrated Delivery Tech,1995-09-26,Electronic banking services,Strategic Alliance,6099,United States,494249045
Donaldson Lufkin & Jenrette,1995-10-02,Investment bank,Joint Venture,6211,United States,495684045
Morgan Stanley Group Inc,1995-10-05,Investment bank,Joint Venture,6211,United States,496510045
BancBoston Mortgage Corp,1995-10-05,Mortgage bank,Strategic Alliance,6162,United States,496630045
"Bank of Boston Corp,Boston,MA",1995-10-09,Bank holding company,Strategic Alliance,6021,United States,500994045
RT Holdings Inc,1995-10-17,Bank holding company,Joint Venture,6035,United States,503341045
BankAmerica Corp,1995-10-19,Bank holding company,Joint Venture,6021,United States,503124045
"Bank of Boston Corp,Boston,MA",1995-10-20,Bank holding company,Joint Venture,6021,United States,503429045
Metrobank NA,1995-10-20,Commercial bank,Joint Venture,6021,United States,503429045
"Mark Twain Bancshares,MO",1995-10-23,Bank holding company,Strategic Alliance,6021,United States,503920045
TCF Bank Michigan,1995-10-26,Commercial bank,Strategic Alliance,6021,United States,513733045
Cohane Rafferty Securities LLC,1995-10-26,Investment bank,Joint Venture,6211,United States,513815045
"Hudson United Bk,Union City,NJ",1995-11-03,Commercial bank,Joint Venture,6022,United States,516556045
United National Bank,1995-11-03,Commercial bank,Joint Venture,6021,United States,516556045
PaineWebber Group Inc,1995-11-06,Investment bank,Strategic Alliance,6211,United States,515492045
"First Union Corp,Charlotte,NC",1995-11-14,Commercial bank;holding co,Strategic Alliance,6021,United States,517423045
"Mellon Bank NA,Pittsburgh,PA",1995-11-16,Commercial bank,Strategic Alliance,6021,United States,522658045
Key Bank of Cleveland,1995-11-20,Savings bank,Strategic Alliance,6035,United States,518342045
Wachovia Bank & Trust Co,1995-11-21,Commercial bank,Joint Venture,6021,United States,518767045
Bank of America Nevada,1995-11-27,Commercial bank,Strategic Alliance,6022,United States,519640045
"NationsBank Corp,Charlotte,NC",1995-11-27,Bank hldg co;pvd finl svcs,Strategic Alliance,6021,United States,519640045
"First Bank Sys,Minneapolis,MN",1995-11-27,Bank holding company,Strategic Alliance,6712,United States,519640045
"Fleet Financial Group Inc,MA",1995-11-27,Bank holding company,Strategic Alliance,6021,United States,519640045
"PNC Bank Corp,Pittsburgh,PA",1996-01-08,Bank holding company,Joint Venture,6021,United States,548136045
Morgan Stanley & Co Intl Ltd,1996-01-11,Invest bank,Joint Venture,6211,United States,529754045
Morgan Stanley & Co Intl Ltd,1996-01-15,Invest bank,Joint Venture,6211,United States,530445045
Bankers Trust Co,1996-01-16,Commercial bank,Joint Venture,6021,United States,531492045
"Bank of America,San Francisco",1996-02-05,Commercial bank,Strategic Alliance,6021,United States,534741045
"Mellon Bank Corp,Pittsburgh,PA",1996-02-12,Bank holding co,Joint Venture,6021,United States,536655045
"Comerica Bank,Dallas,Texas",1996-02-13,Commercial bank,Joint Venture,6022,United States,536970045
SPP Hambro & Co,1996-02-13,Investment bank,Joint Venture,6211,United States,536970045
"Bank of Boston Corp,Boston,MA",1996-03-05,Bank holding company,Joint Venture,6021,United States,541188045
"Barnett Banks,Jacksonville,FL",1996-03-05,Commercial bank,Joint Venture,6022,United States,541188045
Beneficial National Bank USA,1996-03-08,"Mtg banking,consumer fin svcs",Strategic Alliance,6162,United States,541662045
"Sunwest Finl Svcs,Albuquerque",1996-03-15,Bank holding company,Joint Venture,6021,United States,542681045
Security First Network Bank,1996-03-15,State bank,Strategic Alliance,6021,United States,542412045
Goldman Sachs & Co,1996-03-28,Invest bank,Strategic Alliance,6211,United States,545967045
Fifth Third Bank,1996-04-16,Commercial bank (for US),Strategic Alliance,6021,United States,548849045
Wells Fargo & Co,1996-05-14,Bank holding company,Strategic Alliance,6021,United States,553541045
Jefferies Group Inc,1996-06-14,Pvd investment banking svcs,Joint Venture,6211,United States,1060056045
Management Technologies Inc,1996-06-25,Develop banking software,Strategic Alliance,7372,United States,561759045
Electronic Payment Services,1996-08-14,Pvd depository banking svcs,Strategic Alliance,6099,United States,619378045
"Chase Manhattan Corp,NY",1996-08-16,Bank holding company,Strategic Alliance,6021,United States,580520045
"Norwest Corp,Minneapolis,MN",1996-08-16,Bank holding company,Strategic Alliance,6021,United States,585339045
"Norwest Corp,Minneapolis,MN",1996-08-16,Bank holding company,Strategic Alliance,6021,United States,584859045
"First Union Corp,Charlotte,NC",1996-08-28,Commercial bank;holding co,Strategic Alliance,6021,United States,579936045
"Chase Manhattan Corp,NY",1996-09-09,Bank holding company,Strategic Alliance,6021,United States,582850045
"NationsBank Corp,Charlotte,NC",1996-09-09,Bank hldg co;pvd finl svcs,Joint Venture,6021,United States,582563045
BankAmerica Corp,1996-09-09,Bank holding company,Joint Venture,6021,United States,582563045
"Fleet Financial Group Inc,MA",1996-09-09,Bank holding company,Joint Venture,6021,United States,582563045
"PNC Bank Corp,Pittsburgh,PA",1996-09-09,Bank holding company,Joint Venture,6021,United States,582563045
First Chicago NBD Corp,1996-09-09,Bank holding company,Joint Venture,6021,United States,582563045
Chase Manhattan Bank,1996-09-10,Commercial bank,Joint Venture,6021,United States,599335045
Mid Atlantic Marketing,1996-09-17,Commercial bank,Joint Venture,6021,United States,1011250045
Mid Atlantic Marketing,1996-09-17,Commercial bank,Joint Venture,6021,United States,1011250045
"Magna Group Inc,St. Louis,MO",1996-09-17,Bank holding company,Strategic Alliance,6021,United States,590995045
"Glastonbury Bank & Trust Co,CT",1996-09-20,Commercial bank;RE agency,Strategic Alliance,6022,United States,587438045
"Chittenden Corp,Burlington,VT",1996-09-20,Bank holding company,Strategic Alliance,6022,United States,587438045
"PNC Bank Corp,Pittsburgh,PA",1996-09-24,Bank holding company,Strategic Alliance,6021,United States,660934045
"Barnett Banks,Jacksonville,FL",1996-09-27,Commercial bank,Strategic Alliance,6022,United States,721300045
Memphis Housing Finance,1996-10-01,Pvd mortgage banking svcs,Strategic Alliance,6162,United States,621481045
Casdim Intl Sys(Casdime Inter),1996-10-02,Bank holding company,Joint Venture,6712,United States,958510045
"BANC ONE Corp,Columbus,Ohio",1996-10-03,Bank holding co,Strategic Alliance,6021,United States,621478045
"NationsBank Corp,Charlotte,NC",1996-10-09,Bank hldg co;pvd finl svcs,Strategic Alliance,6021,United States,593397045
PBS Inc,1996-10-09,Investment bank,Strategic Alliance,6211,United States,1055271045
"SouthTrust Corp,Birmingham,AL",1996-10-10,Coml bank hldg co,Joint Venture,6021,United States,972882045
"Bank of Boston Corp,Boston,MA",1996-10-22,Bank holding company,Strategic Alliance,6021,United States,618151045
PaineWebber Group Inc,1996-10-22,Investment bank,Strategic Alliance,6211,United States,618151045
North American Mortgage Co,1996-10-24,Mortgage bank,Joint Venture,6162,United States,622262045
Salomon Brothers Realty Corp,1996-10-29,Mortgage bank,Joint Venture,6162,United States,929423045
Wells Fargo & Co,1996-11-01,Bank holding company,Strategic Alliance,6021,United States,602911045
"Mellon Bank Corp,Pittsburgh,PA",1996-11-01,Bank holding co,Strategic Alliance,6021,United States,602959045
"Summit Bancorp,Princeton,NJ",1996-11-13,Bank holding company,Joint Venture,6021,United States,955164045
First Chicago NBD Corp,1996-11-18,Bank holding company,Strategic Alliance,6021,United States,618373045
InteliData Technologies Corp,1996-11-22,Pvd online banking svcs,Joint Venture,6029,United States,621574045
"KeyCorp,OH-Northwest OH(9)",1996-12-03,Commercial bank,Strategic Alliance,6021,United States,1059556045
"Barnett Banks,Jacksonville,FL",1996-12-09,Commercial bank,Joint Venture,6022,United States,952860045
"Crestar Finl Corp,Richmond,VA",1996-12-09,Bank holding company,Joint Venture,6022,United States,952860045
"First Union Corp,Charlotte,NC",1996-12-09,Commercial bank;holding co,Joint Venture,6021,United States,952860045
"NationsBank Corp,Charlotte,NC",1996-12-09,Bank hldg co;pvd finl svcs,Joint Venture,6021,United States,952860045
"Southern Natl,Winston-Salem,NC",1996-12-09,Bank holding company,Joint Venture,6022,United States,952860045
"Wachovia Corp,Winston-Salem,NC",1996-12-09,Bank holding company,Joint Venture,6021,United States,952860045
Security First Technologies,1996-12-16,Commercial bank,Strategic Alliance,6021,United States,1030807045
State Street Bank & Trust Co,1996-12-23,Commercial bank,Strategic Alliance,6021,United States,1054381045
State Street Bank & Trust Co,1996-12-23,Commercial bank,Strategic Alliance,6021,United States,618155045
Chase Manhattan Bank,1996-12-24,Commercial bank,Joint Venture,6021,United States,621599045
HomeOwners Mortgage & Equity,1996-12-30,Mortgage bank,Strategic Alliance,6162,United States,1054388045
Pulse,1996-12-31,Pvd electronic banking svcs,Strategic Alliance,6099,United States,653533045
"Barnett Banks,Jacksonville,FL",1997-01-06,Commercial bank,Joint Venture,6022,United States,624653045
"BANC ONE Corp,Columbus,Ohio",1997-01-06,Bank holding co,Joint Venture,6021,United States,624653045
"Mellon Bank Corp,Pittsburgh,PA",1997-01-06,Bank holding co,Joint Venture,6021,United States,624653045
"Bank of America,San Francisco",1997-01-06,Commercial bank,Joint Venture,6021,United States,624653045
Michigan National Bank,1997-01-06,Commercial bank; mortgage bk,Joint Venture,6021,United States,624653045
"NationsBank Corp,Charlotte,NC",1997-01-06,Bank hldg co;pvd finl svcs,Joint Venture,6021,United States,624653045
"PNC Bank Corp,Pittsburgh,PA",1997-01-06,Bank holding company,Joint Venture,6021,United States,624653045
"First Bank Sys,Minneapolis,MN",1997-01-06,Bank holding company,Joint Venture,6712,United States,624653045
First Chicago NBD Corp,1997-01-06,Bank holding company,Joint Venture,6021,United States,624653045
"Washington Mutual,Seattle,WA",1997-01-06,Bank hldg co,Joint Venture,6036,United States,624653045
"Fleet Financial Group Inc,MA",1997-01-06,Bank holding company,Joint Venture,6021,United States,624653045
Beneficial National Bank,1997-01-07,Commercial bank,Joint Venture,6021,United States,623704045
Robert W Baird & Co Inc,1997-01-13,Investment bank,Strategic Alliance,6211,United States,622321045
First Chicago NBD Corp,1997-01-13,Bank holding company,Strategic Alliance,6021,United States,622321045
"Fleet Financial Group Inc,MA",1997-01-14,Bank holding company,Strategic Alliance,6021,United States,622596045
Salomon Brothers Inc(Salomon),1997-01-17,Investment bank,Strategic Alliance,6211,United States,624599045
JP Morgan & Co Inc,1997-01-21,Investment bank,Joint Venture,6211,United States,643511045
SPP Hambro & Co,1997-02-03,Investment bank,Joint Venture,6211,United States,635791045
Credit Suisse First Boston,1997-02-03,Investment bank,Strategic Alliance,6211,United States,642349045
"Provident Bank,Cincinnati,Ohio",1997-02-05,Commercial bank,Strategic Alliance,6021,United States,898352045
SBC Warburg(Swiss Bank Corp),1997-02-05,Investment bank,Joint Venture,6211,United States,653381045
Stewart Mortgage Infor Co,1997-02-06,Mortgage bank,Strategic Alliance,6162,United States,1062862045
National Securities Corp,1997-02-07,Investment bank,Strategic Alliance,6211,United States,1060533045
"Wachovia Corp,Winston-Salem,NC",1997-02-10,Bank holding company,Strategic Alliance,6021,United States,637200045
Citibank NA,1997-02-21,Commercial bank (for US),Strategic Alliance,6021,United States,1016950045
"BANC ONE Corp,Columbus,Ohio",1997-03-05,Bank holding co,Strategic Alliance,6021,United States,649401045
"NationsBank Corp,Charlotte,NC",1997-03-13,Bank hldg co;pvd finl svcs,Strategic Alliance,6021,United States,961334045
BankAmerica Corp,1997-03-14,Bank holding company,Strategic Alliance,6021,United States,650222045
Oxford Savings Bank,1997-03-18,Investment bank,Strategic Alliance,6211,United States,650206045
Carpenter & Co,1997-03-31,Investment bank,Joint Venture,6211,United States,653201045
Colonial State Bank,1997-03-31,Commercial bank,Joint Venture,6022,United States,652819045
Banksys,1997-04-01,Bank,Joint Venture,6029,United States,661388045
USF Holdings Inc,1997-04-01,Pvd mortgage banking svcs,Joint Venture,6162,United States,653264045
"Bank of Boston Corp,Boston,MA",1997-04-02,Bank holding company,Joint Venture,6021,United States,653545045
InteliData Technologies Corp,1997-04-09,Pvd online banking svcs,Strategic Alliance,6029,United States,655373045
"BANC ONE Corp,Columbus,Ohio",1997-04-10,Bank holding co,Joint Venture,6021,United States,655887045
Barry Slatt Mortgage,1997-04-14,Mortgage bank,Joint Venture,6162,United States,958870045
Pacific Crest Capital Inc,1997-04-14,Bank hldg co,Joint Venture,6021,United States,958870045
JP Morgan & Co Inc,1997-04-17,Investment bank,Strategic Alliance,6211,United States,959238045
Bank Boston,1997-04-23,Bank holding company,Joint Venture,6029,United States,660108045
National Commerce Bancorp,1997-04-23,Bank holding company,Joint Venture,6021,United States,659225045
Bankers Trust New York Corp,1997-04-25,Bank holding company,Joint Venture,6022,United States,659404045
"BankBoston Corp,Boston,MA",1997-04-29,Bank holding company,Joint Venture,6021,United States,660835045
"Mellon Bank Corp,Pittsburgh,PA",1997-05-05,Bank holding co,Joint Venture,6021,United States,661890045
"American Bancshares Inc,FL",1997-05-06,Commercial bank,Strategic Alliance,6022,United States,662059045
Peoples State Bank,1997-05-09,Commercial bank,Strategic Alliance,6022,United States,663090045
"BANC ONE Corp,Columbus,Ohio",1997-05-19,Bank holding co,Strategic Alliance,6021,United States,664385045
"Mellon Bank Corp,Pittsburgh,PA",1997-05-19,Bank holding co,Strategic Alliance,6021,United States,1017104045
"First Union Corp,Charlotte,NC",1997-05-19,Commercial bank;holding co,Strategic Alliance,6021,United States,668499045
First Tennessee National Corp,1997-05-20,Bank holding co,Strategic Alliance,6712,United States,992408045
Home Account Network Inc,1997-05-20,"Pvd misc bus credit,bank svcs",Strategic Alliance,6159,United States,992408045
InteliData Technologies Corp,1997-05-20,Pvd online banking svcs,Strategic Alliance,6029,United States,992408045
"Firstar Bank,Milwaukee",1997-05-29,Commerical bank,Strategic Alliance,6021,United States,667055045
First Tennessee National Corp,1997-05-30,Bank holding co,Strategic Alliance,6712,United States,667248045
Chase Manhattan Bank,1997-06-03,Commercial bank,Strategic Alliance,6021,United States,667738045
Cho Hung Bank-California,1997-06-10,Bank,Strategic Alliance,6029,United States,669305045
Bankers Trust New York Corp,1997-06-12,Bank holding company,Joint Venture,6022,United States,679324045
Security First Technologies,1997-06-17,Commercial bank,Strategic Alliance,6021,United States,691275045
"BankBoston Corp,Boston,MA",1997-06-20,Bank holding company,Joint Venture,6021,United States,676180045
Carter Primo Chesterton LP,1997-06-20,Mortgage bank,Joint Venture,6162,United States,677239045
First Chicago NBD Capital I,1997-07-08,Bank holding company,Strategic Alliance,6021,United States,677376045
"Harris Savings Bank,Harrisburg",1997-07-09,Commercial bank,Strategic Alliance,6022,United States,1024063045
UMB Financial Corp,1997-07-11,Bank holding company,Strategic Alliance,6021,United States,687223045
SBC Warburg(Swiss Bank Corp),1997-07-14,Investment bank,Joint Venture,6211,United States,679355045
SBC Warburg(Swiss Bank Corp),1997-07-15,Investment bank,Joint Venture,6211,United States,684680045
"First Union Corp,Charlotte,NC",1997-07-15,Commercial bank;holding co,Joint Venture,6021,United States,1022247045
Scotiabank Inc,1997-07-17,Bank (US),Strategic Alliance,6021,United States,680107045
Salomon Inc,1997-07-18,Investment bank,Joint Venture,6211,United States,679993045
JP Morgan & Co Inc,1997-07-26,Investment bank,Strategic Alliance,6211,United States,682843045
"UniBank,Steubenville,Ohio",1997-08-07,Commercial bank,Joint Venture,6022,United States,686378045
"Security First National Bk, LA",1997-08-07,Commercial bank,Strategic Alliance,6021,United States,686043045
"Barnett Banks,Jacksonville,FL",1997-08-07,Commercial bank,Strategic Alliance,6022,United States,686043045
"Wachovia Corp,Winston-Salem,NC",1997-08-07,Bank holding company,Strategic Alliance,6021,United States,686043045
Citicorp,1997-08-07,Bank hldg co,Strategic Alliance,6021,United States,686043045
SBC Warburg(Swiss Bank Corp),1997-08-08,Investment bank,Joint Venture,6211,United States,1033583045
Citibank NA,1997-08-14,Commercial bank (for US),Strategic Alliance,6021,United States,1053260045
"BANC ONE Corp,Columbus,Ohio",1997-08-20,Bank holding co,Strategic Alliance,6021,United States,689744045
Bankers Trust New York Corp,1997-08-28,Bank holding company,Strategic Alliance,6022,United States,691419045
"Haven Bancorp,Woodhaven,NY",1997-09-02,Bank holding company,Strategic Alliance,6021,United States,946603045
Washington Mutual,1997-09-03,Savings bank,Strategic Alliance,6035,United States,692818045
"BankBoston Corp,Boston,MA",1997-09-05,Bank holding company,Joint Venture,6021,United States,693341045
First Annapolis Capital,1997-09-05,Investment bank,Joint Venture,6211,United States,693341045
Salomon Inc,1997-09-22,Investment bank,Joint Venture,6211,United States,699688045
First Premier Bank NA,1997-09-22,Commercial bank,Strategic Alliance,6021,United States,697778045
Salomon Brothers Inc(Salomon),1997-09-23,Investment bank,Joint Venture,6211,United States,697374045
M&I Eastpoint Technology Inc,1997-09-29,Dvlp banking software,Strategic Alliance,7372,United States,942259045
Citibank NA,1997-09-29,Commercial bank (for US),Strategic Alliance,6021,United States,699620045
Bankers Trust Co,1997-09-30,Commercial bank,Strategic Alliance,6021,United States,947801045
"Chase Manhattan Corp,NY",1997-10-06,Bank holding company,Joint Venture,6021,United States,702462045
"NationsBank Corp,Charlotte,NC",1997-10-06,Bank hldg co;pvd finl svcs,Strategic Alliance,6021,United States,703400045
"BANC ONE Corp,Columbus,Ohio",1997-10-07,Bank holding co,Strategic Alliance,6021,United States,1022873045
Citicorp,1997-10-07,Bank hldg co,Strategic Alliance,6021,United States,702466045
"NationsBank Corp,Charlotte,NC",1997-10-07,Bank hldg co;pvd finl svcs,Strategic Alliance,6021,United States,702466045
BankAmerica Corp,1997-10-07,Bank holding company,Strategic Alliance,6021,United States,702466045
"Firstar Bank,Milwaukee",1997-10-08,Commerical bank,Joint Venture,6021,United States,702692045
"Chase Manhattan Corp,NY",1997-10-09,Bank holding company,Strategic Alliance,6021,United States,703050045
Home Account Network Inc,1997-10-13,"Pvd misc bus credit,bank svcs",Strategic Alliance,6159,United States,702534045
"BANC ONE Corp,Columbus,Ohio",1997-10-13,Bank holding co,Strategic Alliance,6021,United States,703359045
Citibank NA,1997-10-13,Commercial bank (for US),Strategic Alliance,6021,United States,703348045
Banksys,1997-10-16,Bank,Strategic Alliance,6029,United States,703668045
Chase Manhattan Bank,1997-10-20,Commercial bank,Strategic Alliance,6021,United States,1023956045
InteliData Technologies Corp,1997-10-23,Pvd online banking svcs,Strategic Alliance,6029,United States,704849045
"Union Planters Corp,Memphis,TN",1997-10-24,Bank hldg co,Strategic Alliance,6021,United States,705627045
InteliData Technologies Corp,1997-10-28,Pvd online banking svcs,Strategic Alliance,6029,United States,1059498045
"PNC Bank Corp,Pittsburgh,PA",1997-10-31,Bank holding company,Strategic Alliance,6021,United States,707648045
Security First Technologies,1997-11-04,Commercial bank,Strategic Alliance,6021,United States,940433045
Donaldson Lufkin & Jenrette,1997-11-05,Investment bank,Joint Venture,6211,United States,708834045
BancAmerica Robertson Stephens,1997-11-10,Investment bank,Joint Venture,6211,United States,1039267045
Citibank NA,1997-11-18,Commercial bank (for US),Strategic Alliance,6021,United States,1001639045
"KeyCorp,Albany,NY(Key Corp,OH)",1997-11-24,Bank holding company,Strategic Alliance,6021,United States,1021798045
"Goleta National Bank,Goleta,CA",1997-11-25,Commercial bank,Strategic Alliance,6021,United States,712422045
Sound Advance Systems,1997-11-27,Investment bank,Strategic Alliance,6211,United States,1036733045
Martin Wolf Associates Inc,1997-12-01,Investment bank,Strategic Alliance,6211,United States,714435045
"NationsBank Corp,Charlotte,NC",1997-12-05,Bank hldg co;pvd finl svcs,Joint Venture,6021,United States,715410045
Heartland Financial USA Inc,1997-12-10,Bank holding company,Joint Venture,6022,United States,716248045
Maryland Bank NA,1997-12-15,Commercial bank (for US),Joint Venture,6021,United States,718818045
